"Mercedes-Benz Oakville 10k","TEN"
"10.5Km","TEN"
"10k (Half Marathoners)","HALF"
"5 km course","FIVE"
"2 km - 10-11 ans","OTHER"
"Recharge with Milk Half Marathon Run","HALF"
"Duathlon Sprint","OTHER"
"Grimpeur","OTHER"
"Demi Marathon Podiatre Elizabeth","HALF"
"45 KM STYLE LIBRE","FIVE"
"King / Queen of the Mountain","OTHER"
"Ironman 70.3","OTHER"
"Triathlon Sprint - Sillonnage","OTHER"
"21 km (Course)","OTHER"
"5 km Run-Walk","FIVE"
"uthc10","TEN"
"2 km Groupe Investor","OTHER"
"18 KM","other"
"5 km (Course)","FIVE"
"Défi 9 km trail + 20 km","HALF"
"45 km","FIVE"
"Triathlon sprint - Ouvert","OTHER"
"8 km","OTHER"
"51 KM Classique","OTHER"
"Lowertown Brewery Ottawa 10K","TEN"
"MNP 10KM Run","TEN"
"10 km run/walk","TEN"
"6 km Obstacle Course","OTHER"

"Nutrience Half Marathon Run","HALF"
"Cross-Country 4 km","OTHER"
"21,1 km","OTHER"
"Duathlon sprint Championnat Provincial","OTHER"
"35 KM","FIVE"
"Triathlon Initiation","OTHER"
"Duathlon - Competitif","OTHER"
"155 km","FIVE"
"10K Course","TEN"
"Overall 70.3","OTHER"
"93 km","OTHER"
"Le Defi Oasis","OTHER"
"1 km Course","OTHER"
"21.1 km Trail Run","OTHER"
"Duathlon - Coupe du Quebec","OTHER"
"2.1 km Swim","OTHER"
"SWIMRUN Standard","OTHER"
"Triathlon d'hiver - Groupes d'âges","OTHER"
"Triathlon Olympique - Wetsuit","OTHER"
"GoodLife Fitness 10k","TEN"
"Grand Trail - 18 Km","OTHER"
"Triathlon sprint - Grand Prix Championnat Provincial","OTHER"
"5 km - Buropro","FIVE"
"5K Run - Course de 5K","FIVE"
"19 km","HALF"
"Défi 12 km Le Coureur nordique","OTHER"
"12 KM","OTHER"
"50km Classique","OTHER"
"88 km","OTHER"
"10 KM de Nuit","TEN"
"HTG Sports 5K","OTHER"
"Triathlon Longue Distance","OTHER"
"AMJ Campbell Full Marathon","FULL"
"Demi-marathon Podiatre Elizabeth","HALF"
"10 KM OCEAN","TEN"
"Cyclosportive 60 km","OTHER"
"Winterlude Triathlon","OTHER"
"110 km","TEN"
"21km","OTHER"
"9 km trail","OTHER"
"Cross Country - 8 km","OTHER"
"5K Run","FIVE"
"110km","TEN"
"22.2 Km Chemin de Campagne","HALF"
"2 KM","OTHER"
"Overall Results - Full 140.6 Distance","FULL"
"Triathlon Olympique - Ouvert","OTHER"
"5km Run/Walk","FIVE"
"23 km","HALF"
"10 KM Microbrasserie des Beaux Prés","TEN"
"GranFondo - 122 km","OTHER"
"30km Race","OTHER"
"105 Km","FIVE"
"TRAIL RUN 10 KM","TEN"
"38km style libre","OTHER"
"10km Run Walk","TEN"
"Johnson 5km","FIVE"
"42 km Style Libre","FULL"
"Full Ironman Overall","FULL"
"Triathlon format classique","OTHER"
"Triathlon Demi Ironman","OTHER"
"22 km","HALF"
"Défi Oasis","HALF"
"Jan Nordstrom 10 km classique","TEN"
"Pentathlon Volet Individuel - Long Distance","OTHER"
"Triathlon Olympique - Championnat Provincial","OTHER"
"Demi Marathon 21.1km","OTHER"
"10 km Run","TEN"
"Meilleur grimpeur","OTHER"
"Canadian Sprint Distance Championships","OTHER"
"6 KM Château Mont-Sainte-Anne","FIVE"
"21 KM Trail Run","OTHER"
"Sprint Duathlon","OTHER"
"Demi-marathon 21.1 km","OTHER"
"21.1K","HALF"
"10 KM Microbrasserie des Beaux Pres","TEN"
"Canadian 5km Road Race Championship","FIVE"
"5 km Course et Marche","FIVE"
"9 KM","TEN"
"Short Course- By Prediction","OTHER"
"1 km P tit Marathon","OTHER"
"10 km Physio Sante","TEN"
"Défi Corporatif BCF","HALF"
"Triathlon Sprint - Coupe du Québec et Forces Canadiennes","OTHER"
"UPS 10 km","TEN"
"Jack Wahlberg 20 km Classique","HALF"
"5 km - Canicourse","FIVE"
"51 KM Style Libre","OTHER"
"42km style libre","FULL"
"2.1 km","OTHER"
"Vittoria Trattoria Half Marathon","HALF"
"JAN NORDSTROM 10KM CLASSIQUE","TEN"
"Defi Asics 21.1 km Course","OTHER"
"Patin - Marathon 25 km","OTHER"
"Running Room 21.1K Run","HALF"
"1 km - 8-9 ans","OTHER"
"Sprinteur","OTHER"
"QC et CFNC Triathlon olympique","OTHER"
"5km Run","FIVE"
"5 KM INDIVIDUEL PARTICIPATIF","FIVE"
"TRANS-EXPRESS","OTHER"
"Defi Courte Distance- Solo","OTHER"
"5 Km Route","FIVE"
"10 km (Course)","TEN"
"8km Run","OTHER"
"1 km Maxi cie","OTHER"
"4.2 km","OTHER"
"Petit Trail Oasis - 8 Km","OTHER"
"5km Raquette","FIVE"
"5 km - Défi des entreprises","FIVE"
"5 km (vendredi)","FIVE"
"Ironman","OTHER"
"13 km","OTHER"
"Competitif","OTHER"
"150 km","OTHER"
"56 km","OTHER"
"Triathlon sprint AG Coupe du Québec","OTHER"
"Olympic","OTHER"
"33 KM","OTHER"
"Goodlife Fitness 10km","TEN"
"Sprinteurs","OTHER"
"Triathlon Demi-Esprit","OTHER"
"Groupes d'ages","OTHER"
"Nage 2 km","OTHER"
"Course 10 km","TEN"
"Défi 18 km Le Coureur nordique","OTHER"
"Super Sprint Triathlon","OTHER"
"Half Triathlon","OTHER"
"Smith-Johannsen 33 km Classique","OTHER"
"COUPE DU QUEBEC Triathlon SPRINT ELITE","OTHER"
"Challenge","OTHER"
"Iron 226 Triathlon","OTHER"
"5150 Triathlon","OTHER"
"10 Miles","OTHER"
"Triathlon Association Pulmonaire","OTHER"
"TRANS EXPRESS","OTHER"
"Duathlon Individuel","OTHER"
"Sprint","OTHER"
"5 km Run and Walk","FIVE"
"Triathlon format ITU","OTHER"
"Coure 10 Km","TEN"
"Cyclosportive 105 km","FIVE"
"Triathlon Nordique Competitif Individuel","OTHER"
"Skiathlon - 2 x 6 km Solo","OTHER"
"21.1 km course","OTHER"
"Piccolo Fondo 108km","OTHER"
"Marathon Beauceron","FULL"
"Mini triathlon","OTHER"
"Cross Country - 4 km","OTHER"
"10km Chaussures Mille-pattes","TEN"
"5 km- Kill the Hill Challenge","FIVE"
"10 KM DE NUIT VIZIBL","TEN"
"22,2 Km Chemin de Campagne","HALF"
"Pentathlon Volet Individuel - Courte Distance","OTHER"
"Esprit","OTHER"
"Turkey Challenge","OTHER"
"10 km Wishbone","TEN"
"5 km Media Challenge","FIVE"
"Challenge O2","OTHER"
"Defi Asics 5km Course","FIVE"
"Defi 50km Combinee","OTHER"
"8km","OTHER"
"Triathlon 60-40-5","OTHER"
"Nutrience Half Marathon","HALF"
"Gore-Tex 80K","OTHER"
"15 km Run","FIVE"
"3 km","OTHER"
"Jack Wahlberg 20km Classique","HALF"
"22.5 KM Style Libre","FIVE"
"Defi Des Entreprises","OTHER"
"Cross-Country - 8 km","OTHER"
"5 Km- Physio Sante","FIVE"
"27km style libre/ freestyle","OTHER"
"AG Sprint Duathlon","OTHER"
"Pentathlon Volet Individuel - Short Distance","OTHER"
"21,1 km Course","OTHER"
"Triathlon Olympique Individuel","OTHER"
"Défi 6 km Le Coureur nordique","OTHER"
"Demi-Marathon du crepuscule - 10 km","HALF"
"4,2 km","OTHER"
"Grimpeurs","OTHER"
"Short Course","OTHER"
"8 km Run","OTHER"
"Triahtlon","OTHER"
"Try-a-Tri (Triathlon Initiation)","OTHER"
"8 km- Kill the Hill Challenge","OTHER"
"Triathlon Série Grand Prix - Finale B","OTHER"
"Triathlon 105-40-10","OTHER"
"27 km Classique","OTHER"
"10 km Patin/Skate","OTHER"
"Standard Distance Championships","OTHER"
"21 km Media Challenge","OTHER"
"Groupes d'âges","OTHER"
"COUPE DU QUEBEC Triathlon Sprint Riviere","OTHER"
"15km Run","FIVE"
"3K","OTHER"
"Wishbone Race 10K","TEN"
"Olympic Duathlon","OTHER"
"Siskinds Half Marathon Run","HALF"
"40 Km Velo de Montagne","OTHER"
"TRANS VALLEE","OTHER"
"Long Triathlon","OTHER"
"Medio Fondo","OTHER"
"The Canadian Iron 113 Triathlon","OTHER"
"7 km Marche","OTHER"
"Triathlon d'hiver","OTHER"
"8 km Walk/Run","OTHER"
"Duathlon Olympique Individuel","OTHER"
"Cross-Country - 4 km","OTHER"
"Half Iron Triathlon","OTHER"
"6 km Overall Results","OTHER"
"2.4 mile swim","OTHER"
"Triathlon Série Grand Prix - Demi-Finale","OTHER"
"Timberman Sprint Triathlon","OTHER"
"AG et CF Triathlon Sprint","OTHER"
"5 km Poussettes","FIVE"
"Senior Men 3","OTHER"
"4k","OTHER"
"Traversee Lac des Sables - 5 km","FIVE"
"42 KM Solo","FULL"
"Defi Asics 10km Course","TEN"
"10 km Style Libre","TEN"
"1 km P'tit marathon","OTHER"
"Course 5 km","FIVE"
"10K Run","TEN"
"Triathlon - Sprint","OTHER"
"1K Course","OTHER"
"Give-It-A-Tri","OTHER"
"Long Duathlon","OTHER"
"6 km Obstacle Course and Mud Run","OTHER"
"10 Km- Bourret","TEN"
"40km Classique","FULL"
"47 KM","OTHER"
"Triathlon Sprint Ouvert","OTHER"
"Half Iron","HALF"
"Demi Marathon Marche","HALF"
"Demi-Marathon du crepuscule - 21 km (19.5 km)","OTHER"
"RE/MAX Qunite Half Marathon","HALF"
"45 KM CLASSIQUE","FIVE"
"45km Style Libre","FIVE"
"Tri-Neo","OTHER"
"55km Classique","FIVE"
"Barrelman Half Iron Triathlon","OTHER"
"10km Run","TEN"
"5 km Raquette","FIVE"
"4.5 KM","FIVE"
"50K","OTHER"
"AG Duathlon Sprint","OTHER"
"2 Km- Energie Cardio","OTHER"
"1 km - Maxi","OTHER"
"Triathlon d'hiver Sprint","OTHER"
"Duathlon Competition","OTHER"
"Defi Longue Distance - Solo","OTHER"
"Funnybone Run 5K","OTHER"
"Cross-Country - 2 km","OTHER"
"90 km","OTHER"
"17.5 km","FIVE"
"20km style libre","HALF"
"Long Course","OTHER"
"Iron 226 SwimCycle","OTHER"
"1 km U6","OTHER"
"Try A Tri","OTHER"
"1 Km- Maxi","OTHER"
"Triathlon Nordique Individuel","OTHER"
"Minto Chapman Mills 10km","TEN"
"Grand Trail","OTHER"
"51km style libre/ freestyle","OTHER"
"Iron 113 Triathlon","OTHER"
"The Canadian Olympic Triathlon","OTHER"
"Course a pied - 10 km","TEN"
"Triathlon 16+","OTHER"
"45km Classique","FIVE"
"20 KM CLASSIQUE","HALF"
"Long Triathon","OTHER"
"SuperSprint Triathlon","OTHER"
"2 km (avec pousette)","OTHER"
"Short Duathlon","OTHER"
"Ironman Los Cabos Results","OTHER"
"Barbados 5km","FIVE"
"50 Miles","OTHER"
"12 km Raquette","OTHER"
"QC Duathlon Olympique","OTHER"
"The Canadian Sprint Triathlon","OTHER"
"20 km Trail Run","HALF"
"6 km - Course poussette","OTHER"
"Piccolo Fondo (80 KM)","OTHER"
"51 KM Patin/Skate","OTHER"
"Half Iron Distance Triathlon","OTHER"
"Canada Day 5k","FIVE"
"Iron 226 Duathlon","OTHER"
