FULL,Marathon,Scotiabank Ottawa Marathon,Ottawa Marathon,Full Marathon,42.2km,Saskatchewan Credit Unions 42.2K Run,Friendly Massey Marathon,Ottawa Marathon- Shortened Race,Scotiabank Full Marathon,Challenge Marathon,45 km,AMJ Campbell Full Marathon,42 km Style Libre,42km style libre,Marathon Beauceron,42 KM Solo,40km Classique,45 KM CLASSIQUE,45km Style Libre,45km Classique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALF,Ottawa Half Marathon,Demi-Marathon,Half Marathon,Demi Marathon,21 km,20 km,Demi Esprit,21.1 KM,20 km route,Scotiabank Ottawa Half Marathon,21.1km,28 KM - Momentum Technologies,1/2 Marathon - Demi-marathon,25 KM,25km Classique,Demi- Esprit,23 km Traverse L'Isle-aux-Coudres Saint-Joseph-de-la-Rive,Demi Marathon Course,21.1 KM CARON ET GUAY,Half Marathon - Demi Marathon,25 KM La Vie Sportive,Défi courte distance Merrell - Solo,21 km - course,Auto Value Hyundai Half-Marathon Run,22.2 Km,Recharge with Milk Half Marathon,20km classique,Ottawa Half-Marathon - Demi-marathon,Half Marathon Run,Super Défi,21km Course,23.5 KM The North Face,Half-Marathon,25 KM SkyRace®,Recharge with Milk Half Marathon Run,Demi Marathon Podiatre Elizabeth,21 km (Course),Nutrience Half Marathon Run,"21,1 km",21.1 km Trail Run,19 km,Demi-marathon Podiatre Elizabeth,21km,22.2 Km Chemin de Campagne,23 km,22 km,Défi Oasis,Demi Marathon 21.1km,21 KM Trail Run,Demi-marathon 21.1 km,21.1K,Jack Wahlberg 20 km Classique,Vittoria Trattoria Half Marathon,Defi Asics 21.1 km Course,Running Room 21.1K Run,"22,2 Km Chemin de Campagne",Nutrience Half Marathon,Jack Wahlberg 20km Classique,22.5 KM Style Libre,"21,1 km Course",21 km Media Challenge,Siskinds Half Marathon Run,Half Iron,Demi Marathon Marche,Demi-Marathon du crepuscule - 21 km (19.5 km),RE/MAX Qunite Half Marathon,20km style libre,20 KM CLASSIQUE,20 km Trail Run,The Canadian Evening Half-Marathon,Sprintman (20 Top Hommes et 20 Top Femmes),Jour 1 - 20 km Classique,Demi-marathon,Demi marathon,20 KM,21 KM,22.2 km chemin de campagne,20km Classique,25 km,Defi des Entreprises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEN,10 km,10 KM - SAIL,10 km Oasis,Ottawa 10K,10K,10Km,10 km - Physio Sante,10 km du Vignoble Les Petits Cailloux,10 km Course,10km Course,11 km,10k (Marathoners),10.5 km,9 km - trail,10 km - course,10 KM SIMARD,10 km route,Combo 10km et 5km,10.5 km - Course,Mercedes-Benz Oakville 10k,10.5Km,10k (Half Marathoners),uthc10,Lowertown Brewery Ottawa 10K,MNP 10KM Run,10 km run/walk,10K Course,GoodLife Fitness 10k,10 KM de Nuit,10 KM OCEAN,110km,10 KM Microbrasserie des Beaux Prés,TRAIL RUN 10 KM,10km Run Walk,Jan Nordstrom 10 km classique,10 km Run,10 KM Microbrasserie des Beaux Pres,9 KM,10 km Physio Sante,UPS 10 km,JAN NORDSTROM 10KM CLASSIQUE,10 km (Course),Goodlife Fitness 10km,Course 10 km,Coure 10 Km,10km Chaussures Mille-pattes,10 KM DE NUIT VIZIBL,10 km Wishbone,Demi-Marathon du crepuscule - 10 km,Wishbone Race 10K,Defi Asics 10km Course,10 km Style Libre,10K Run,10 Km- Bourret,10km Run,Minto Chapman Mills 10km,Course a pied - 10 km,10 KM,10km,10 Km Route,10 Km Course,10k,12 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIVE,5 KM,5 km Course/Marche,5.5 km,5km Sports Experts,5 km Pneu Patry,5 km Sports Experts,5km Marche,5 km Funnybone,5km Course,Ottawa 5K,5km Course et Marche,4 km,5 km - Course,5 KM FAMILIPRIX,5K,5km,5K Course,5 KM Marche,6 KM,5 km course,45 KM STYLE LIBRE,5 km Run-Walk,5 km (Course),5 km - Buropro,5K Run - Course de 5K,HTG Sports 5K,5K Run,5km Run/Walk,Johnson 5km,6 KM Château Mont-Sainte-Anne,Canadian 5km Road Race Championship,5 km Course et Marche,5 km - Canicourse,5km Run,5 KM INDIVIDUEL PARTICIPATIF,5 Km Route,5km Raquette,5 km - Défi des entreprises,5 km (vendredi),5 km Run and Walk,5 km- Kill the Hill Challenge,5 km Media Challenge,Defi Asics 5km Course,15 km Run,5 Km- Physio Sante,15km Run,5 km Poussettes,Traversee Lac des Sables - 5 km,Course 5 km,55km Classique,5 km Raquette,4.5 KM,Funnybone Run 5K,Barbados 5km,Canada Day 5k,1.65 KM,Nage 5 km,Co operators 5km,5 km Run,5 km,5 km Course,5k,5 km route,5 km - course,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTHER,Individual,1 km - P'tit Marathon,Overall,Tinman Triathlon,6km,6km Obstacle Course,Triathlon Olympique,Sprint Triathlon,uthc28,6 KM MUD RUN AND OBSTACLE COURSE,Individuel,uthc80,30 km,TRANS-VALLEE,Extreme 8,Grand Fondo Gatineau 111.8 Km,Triathlon Sprint,50 KM,Overall Results,Courte Distance - Individuel,uthc65,Ironman 5150- Triathlon Olympique,Sprint Individuel,Triathlon Sprint - Sans Sillonnage,Resultats,Duathlon Sprint sans sillonnage,XTERRA LONG,Duathlon Olympique,5i50 Individuel,Triathlon Endurance Aventure Offshore,100 km,Individual Results,Triathlon Endurance Aventure Sprint,XTERRA court,15 km,80 KM (50 miles),Olympic Triathlon,Triathlon,125 KM,Medio Fondo Gatineau 69 Km,28 KM,uthc125,15 KM Classique,GORE-TEX 50 MILE,Longue Distance - Individuel,60km,P'tit Marathon 1 km Tel-Jeunes,Overall Results - Shortened Race,Triathlon olympique qualification mondiaux 2017,60 KM,65 KM,Duathlon Compétition,Course des jeunes Tanguay,1 km,Triathlon Olympique - Coupe Québec,Long Course Triathlon,1km P'tit Marathon,70.3 Results,SMITH-JOHANNSEN 33KM CLASSIQUE,80 km,Triathlon Groupe D'age,Duathlon,105km,KING OF THE MOUNTAIN,Triathlon sprint AG Ouvert,COUPE DU QUEBEC Duathlon SPRINT,Le Super Defi,Triathlon 1/2 Longue Distance,Duathlon Sprint avec sillonnage,Triathlon Demi Longue Distance Championnat Provincial,30 miles,Ottawa 2K,Short Course- By Time,65 KM - Valeurs mobilières Desjardins,48 KM Skyrace,Ironman 70.3 Monterrey Results,50km Style Libre,Triathlon sprint - Coupe du Québec,Triathlon D3couverte,Granfondo - 100 km,Gran Fondo,Half Marathon Changed to 12.3K,6/40/6 Duathlon,6K Obstacle Course,2 km - 10-11 ans,Duathlon Sprint,Grimpeur,King / Queen of the Mountain,Ironman 70.3,Triathlon Sprint - Sillonnage,2 km Groupe Investor,18 KM,Défi 9 km trail + 20 km,Triathlon sprint - Ouvert,8 km,51 KM Classique,6 km Obstacle Course,Cross-Country 4 km,Duathlon sprint Championnat Provincial,35 KM,Triathlon Initiation,Duathlon - Competitif,155 km,Overall 70.3,93 km,Le Defi Oasis,1 km Course,Duathlon - Coupe du Quebec,2.1 km Swim,SWIMRUN Standard,Triathlon d'hiver - Groupes d'âges,Triathlon Olympique - Wetsuit,Grand Trail - 18 Km,Triathlon sprint - Grand Prix Championnat Provincial,Défi 12 km Le Coureur nordique,12 KM,50km Classique,88 km,Triathlon Longue Distance,Cyclosportive 60 km,Winterlude Triathlon,110 km,9 km trail,Cross Country - 8 km,2 KM,Overall Results - Full 140.6 Distance,Triathlon Olympique - Ouvert,GranFondo - 122 km,30km Race,105 Km,38km style libre,Full Ironman Overall,Triathlon format classique,Triathlon Demi Ironman,Pentathlon Volet Individuel - Long Distance,Triathlon Olympique - Championnat Provincial,Meilleur grimpeur,Canadian Sprint Distance Championships,Sprint Duathlon,Short Course- By Prediction,1 km P tit Marathon,Défi Corporatif BCF,Triathlon Sprint - Coupe du Québec et Forces Canadiennes,51 KM Style Libre,2.1 km,Patin - Marathon 25 km,1 km - 8-9 ans,Sprinteur,QC et CFNC Triathlon olympique,TRANS-EXPRESS,Defi Courte Distance- Solo,8km Run,1 km Maxi cie,4.2 km,Petit Trail Oasis - 8 Km,Ironman,13 km,Competitif,150 km,56 km,Triathlon sprint AG Coupe du Québec,Olympic,33 KM,Sprinteurs,Triathlon Demi-Esprit,Groupes d'ages,Nage 2 km,Défi 18 km Le Coureur nordique,Super Sprint Triathlon,Half Triathlon,Smith-Johannsen 33 km Classique,COUPE DU QUEBEC Triathlon SPRINT ELITE,Challenge,Iron 226 Triathlon,5150 Triathlon,10 Miles,Triathlon Association Pulmonaire,TRANS EXPRESS,Duathlon Individuel,Sprint,Triathlon format ITU,Cyclosportive 105 km,Triathlon Nordique Competitif Individuel,Skiathlon - 2 x 6 km Solo,21.1 km course,Piccolo Fondo 108km,Mini triathlon,Cross Country - 4 km,Pentathlon Volet Individuel - Courte Distance,Esprit,Turkey Challenge,Challenge O2,Defi 50km Combinee,8km,Triathlon 60-40-5,Gore-Tex 80K,3 km,Defi Des Entreprises,Cross-Country - 8 km,27km style libre/ freestyle,AG Sprint Duathlon,Pentathlon Volet Individuel - Short Distance,Triathlon Olympique Individuel,Défi 6 km Le Coureur nordique,"4,2 km",Grimpeurs,Short Course,8 km Run,Triahtlon,Try-a-Tri (Triathlon Initiation),8 km- Kill the Hill Challenge,Triathlon Série Grand Prix - Finale B,Triathlon 105-40-10,27 km Classique,10 km Patin/Skate,Standard Distance Championships,Groupes d'âges,COUPE DU QUEBEC Triathlon Sprint Riviere,3K,Olympic Duathlon,40 Km Velo de Montagne,TRANS VALLEE,Long Triathlon,Medio Fondo,The Canadian Iron 113 Triathlon,7 km Marche,Triathlon d'hiver,8 km Walk/Run,Duathlon Olympique Individuel,Cross-Country - 4 km,Half Iron Triathlon,6 km Overall Results,2.4 mile swim,Triathlon Série Grand Prix - Demi-Finale,Timberman Sprint Triathlon,AG et CF Triathlon Sprint,Senior Men 3,4k,1 km P'tit marathon,Triathlon - Sprint,1K Course,Give-It-A-Tri,Long Duathlon,6 km Obstacle Course and Mud Run,47 KM,Triathlon Sprint Ouvert,Tri-Neo,Barrelman Half Iron Triathlon,50K,AG Duathlon Sprint,2 Km- Energie Cardio,1 km - Maxi,Triathlon d'hiver Sprint,Duathlon Competition,Defi Longue Distance - Solo,Cross-Country - 2 km,90 km,17.5 km,Long Course,Iron 226 SwimCycle,1 km U6,Try A Tri,1 Km- Maxi,Triathlon Nordique Individuel,Grand Trail,51km style libre/ freestyle,Iron 113 Triathlon,The Canadian Olympic Triathlon,Triathlon 16+,Long Triathon,SuperSprint Triathlon,2 km (avec pousette),Short Duathlon,Ironman Los Cabos Results,50 Miles,12 km Raquette,QC Duathlon Olympique,The Canadian Sprint Triathlon,6 km - Course poussette,Piccolo Fondo (80 KM),51 KM Patin/Skate,Half Iron Distance Triathlon,Iron 226 Duathlon,Olympic Distance Triathlon,30 km OMA Championships,Long Course Duathlon,The Canadian Iron 226 Triathlon,Triathlon initiation - 10-99 ans,Triathlon sprint - Grand Prix,31 Classique,Triathlon O2,Nage Velo Initiation,27 KM Patin/Skate,16 km Classique,Short Course Duathlon,Jour 2 - 22 km Patin/Style Libre,Triathlon Série Grand Prix - Finale A,Coupe des Maitres - Poursuite Finale,Triathlon sprint élites,31 km Patin/Skate,Intermediaire,Defi Super Sprint,1 km Natation,2km,30 KM,10 miles,35 Km,2 km,GRAN FONDO,60 Km,50 km,30 Miles,1 KM,3 KM,Course des Jeunes Tanguay,Smith-Johannsen 33km Classique,6 km
